Date,Close/Last,Volume,Open,High,Low
04/01/2020,167.04,11334700,168.48,168.96,166.40
03/31/2020,164.97,11464940,165.70,166.92,164.56
03/30/2020,166.32,13473210,168.30,170.11,165.94
03/27/2020,167.70,12550010,165.52,168.25,164.59
03/26/2020,163.34,10576590,163.995,165.68,162.27
03/25/2020,162.54,10750560,163.59,166.68,161.62
03/24/2020,162.91,11948560,161.25,165.45,160.41
03/23/2020,166.00,19971810,157.50,166.69,156.57
03/20/2020,159.43,20863060,153.30,159.43,152.11
03/19/2020,148.28,21175270,146.95,153.45,145.25
03/18/2020,144.35,47060980,152.84,154.14,139.0105
03/17/2020,152.98,18570870,163.50,165.63,152.71
03/16/2020,163.91,30496700,160.38,166.15,157.81
03/13/2020,153.94,19812860,155.00,158.20,152.19
03/12/2020,157.50,24361840,163.51,166.36,155.66
03/11/2020,156.53,29594070,165.43,167.03,155.63
03/10/2020,162.51,37728250,169.635,172.93,162.03
03/09/2020,171.29,41552820,179.10,179.70,170.34
03/06/2020,166.77,76288340,167.30,169.33,164.11
03/05/2020,158.52,17786220,157.13,158.82,156.81
03/04/2020,154.67,23463690,156.41,157.35,154.19
03/03/2020,156.33,38608020,153.81,159.70,152.36
03/02/2020,153.94,28152380,155.30,156.50,153.76
02/28/2020,155.31,45010770,154.45,155.9799,154.16
02/27/2020,151.88,30687930,152.70,153.08,150.83
02/26/2020,150.25,22599520,149.95,151.72,149.58
02/25/2020,151.05,20802920,150.21,151.7553,150.14
02/24/2020,150.25,15929280,150.83,150.96,150.00
02/21/2020,148.04,13861570,147.80,148.88,147.65
02/20/2020,146.67,9332916,146.08,146.94,145.9985
02/19/2020,145.53,5707712,145.12,145.62,144.98
02/18/2020,145.54,6912053,145.34,146.05,144.92
02/14/2020,144.55,7137363,144.76,145.08,144.45
02/13/2020,143.92,7883440,143.44,144.20,143.27
02/12/2020,143.37,5595525,143.37,143.55,142.99
02/11/2020,144.10,7784102,144.59,144.72,143.94
02/10/2020,144.83,6699265,145.10,145.25,144.68
02/07/2020,144.43,11374830,144.22,144.74,143.87
